hex_id,Water_mean,Water_slope,Developed_mean,Developed_slope,Barren_mean,Barren_slope,Forest_mean,Forest_slope,Shrubland_mean,Shrubland_slope,Herbaceous_mean,Herbaceous_slope,Planted_Cultivated_mean,Planted_Cultivated_slope,Wetlands_mean,Wetlands_slope,footprint_mean,footprint_slope,influance_mean,influance_slope,night_light_mean,night_light_slope,population_mean,population_slope,road_density_mean,nonrenewable_power_plant_count,renewable_power_plant_count,nonrenewable_total_capacity_mw,renewable_total_capacity_mw,waste_plant_count,total_population_served,total_waste_discharged_m3_d
8,3.402938009239733,0.0042316969484090805,5.6516584182099905,0.019339917303619183,0.04986727159121074,0.0015550428442010233,0.8941761168807716,-0.0013146092576541625,7.312544905602181e-5,6.018556083139024e-7,5.195535570383072,-0.025971690493245277,80.41670577600598,0.005043173829714457,4.389045854622964,-0.002665917435365166,17.97835117837657,0.06763637065887451,33795.626171875,568.1165364583334,5.464042540519468,0.22347862824149747,98849.73647836539,319.5465959821429,187.59918212890625,2,43,348.1,1234.5,4,20306,8187.845
9,3.0075361486524343,0.03666849095368021,4.916249684902141,0.013404843970868345,0.031099677144084122,0.001256553417382141,0.9723434709394496,-0.0013864103294736196,8.580931122992282e-5,9.105644069439308e-7,2.5673507526516914,-0.0046011681358019505,82.9973178729415,-0.03047149409266079,5.508015097584575,-0.017797730777384377,16.763665904169496,0.0198519780085637,29956.68125,194.46940104166669,2.689759292910176,0.02539665882404034,46887.81754807692,-51.267834129235936,219.5209503173828,1,0,1.5,0,14,12688,9577.091
10,0.8637213904876262,0.0010153425759390701,5.6813105079345405,0.021535558574399566,0.04542971480987035,7.726459339859762e-4,1.261119632165446,-0.0018351469857064927,2.6470276736745285e-4,3.746362874071866e-6,0.03005968690558802,1.0050838075888682e-4,86.44931237678975,-0.019143070045270418,5.668778643012047,-0.0046824947909801795,18.144327578337297,7.115772792268668e-4,32501.12109375,17.715657552083332,5.4614406247292795,-0.06996952403675426,132078.54657451922,441.10122863247864,242.64083862304688,5,0,35.3,0,10,68331,33235.913
11,0.46362293302081525,-0.002056809257395486,3.3898238737674546,0.010715284925026922,0.2644507313380018,2.2936593185559931e-4,7.453788792195155,-0.01660821436669519,0.0516709967632778,5.447453358099937e-4,0.08851115366269369,0.0023763849570129355,58.19319875910878,-0.025750288376498356,30.094934795051813,0.024080088108100674,14.43070299729057,0.004688262939452681,19241.631640625,162.5029296875,4.240881750660558,-0.031071753728957402,60631.19705528846,539.79326171875,158.69522094726562,0,1,0,1,15,12671,14005.571
13,0.44039509491994977,0.0022256584738248163,6.9090946414507926,0.04182726377621293,0.07346307596890256,0.00254352524643764,0.7736128374199325,-6.456023596810054e-4,3.4462001579527136e-4,-7.980108049113451e-7,0.6138376682065427,-0.0019414874259382486,90.10209318250418,-0.04278477281332016,1.0871594811032992,-9.308033358221583e-4,20.670410487962805,0.0943593245286208,40662.2484375,17.3671875,9.069107578646753,0.17419055302937814,232753.72740384616,1058.1480654761904,345.3305358886719,9,37,448.2000000000001,1256.6,28,208990,86958.47899999999
14,2.522383979521692,0.011910478082986979,5.264520917771733,0.014245000541753445,0.07354949724685866,0.001288636225841141,1.00320698421001,-0.0016660515484545637,7.872116338347707e-5,1.0136403659995295e-6,0.19951653957832605,-5.957725293496076e-6,82.69392257556319,-0.013454398140311241,8.242817807476968,-0.01388034556342774,17.308939643528152,0.020424270629882814,33601.4734375,108.54231770833333,4.103672942807598,0.08947254310954701,68832.01670673076,-100.62523097826087,204.7156982421875,5,7,467.2,59.6,6,11655,7919.081
15,8.389013353735209,0.013986226075734848,5.613492162156035,0.02807765921220924,0.14008879705215804,0.005029218179212572,14.276939870906062,-0.0070697054704370165,0.03300050739198923,3.750353010088605e-4,0.3652467258507386,-0.00160493859935,58.48706094548106,-0.028801833589871727,12.69516178406775,-0.010200073773210708,17.269438204558,0.01688914828830295,24911.708203125,467.88802083333337,5.666895212665681,-0.058427651723225914,120334.87439903847,360.0206913768797,211.3938140869141,3,3,145.2,56.199999999999996,9,27653,14884.24
16,0.7810185209382325,-0.005318013807901974,3.881635360594373,0.012651651576604861,0.05181172222364694,0.001936170266552446,4.269990171014797,-4.4044492425988327e-4,0.017277450988331108,-1.5403937949385105e-4,0.05175135298486566,-7.189292470381314e-4,56.82646431028843,0.009785963859605163,34.120052829384804,-0.022225126912052504,14.432489851246709,-0.006905989213423134,19246.791796875,48.609212239583336,2.3312811697683027,-0.043671250343322754,33363.34598858173,41.188822302018636,149.4840545654297,1,0,6.5,0,0,0,0
19,1.1993096768856049,4.334330439248825e-4,5.70381642668508,0.01746451000618443,0.05019797303248197,0.0014355156703719071,1.7631815865024691,-7.873987493850701e-4,8.797622729161948e-4,2.8996537610380203e-5,0.09941708369296975,-1.8755995875431572e-4,87.35751959029585,-0.023022682630810243,3.8256803050171584,0.0028891551519642355,18.060303812441617,0.04371861049107194,37860.1375,107.0078125,5.570455328110726,0.18439531326293931,96341.96586538461,35.394735863095235,180.6042022705078,9,20,71.3,167.2,9,22624,13332.221000000001
20,8.229094333946705,0.0064228833825499924,6.057390357018448,0.027448840631657968,0.07577618700452149,0.002393834934495813,10.14391134129255,-0.0016382504272215673,0.0016243569598373123,3.465551515242415e-5,0.46720669604837894,-0.002231750086965886,61.079113744199276,-0.024589074568616018,13.94587988499552,-0.009225930059046369,18.061410903930664,0.01614526601938101,26760.417578125,706.4073893229167,5.462289840944352,-0.07775395711263021,128235.1061298077,200.96559053308823,229.37547302246097,3,12,18.4,118,14,39200,16091.785
